Row.names,PC1,PC2,PC3,X,Tube,root.microb3,Vegetation,Location,SampleID,LDMC..g.g.,SLA..cm.2.g.,X15N,X13C,Wt..N.,Wt..C.
41,-2.606754311,0.822218157,-0.157484685,ITS.cc.81,81,AMF,S,Colombia,ITS.cc.81,1.578325536,5.564338082,2.216433368,1.361005322,0.816804352,1.369746739
42,-1.148683026,0.731194839,-0.076536134,ITS.cc.82,82,AMF,S,Colombia,ITS.cc.82,2.615660086,5.513666305,2.223724233,1.238335818,0.712431868,1.368002663
43,-0.536145787,-0.031599753,0.646822147,ITS.cc.83,83,AMF,S,Colombia,ITS.cc.83,3.086121816,5.541349691,2.209154136,1.510080961,0.858300495,1.365417535
44,-0.016240066,1.046500473,-0.709524171,ITS.cc.85,85,AMF,S,Colombia,ITS.cc.85,3.475475532,5.41012303,2.201486947,0.869970148,0.606488796,1.365916376
45,-1.234102498,0.63982696,-0.128213592,ITS.cc.86,86,AMF,S,Colombia,ITS.cc.86,2.573041993,5.509098431,2.215338869,1.246695214,0.750051142,1.366958238
46,-2.377549117,0.624923942,0.092706445,ITS.cc.88,88,AMF,S,Colombia,ITS.cc.88,1.72586457,5.543672388,2.23903337,1.444668594,0.816218387,1.36936765
47,-0.708633077,0.641836466,0.428071108,ITS.cc.89,89,AMF,S,Colombia,ITS.cc.89,3.107649476,5.539107845,2.247910974,1.316936459,0.850310532,1.371252594
48,-2.319924281,0.765725394,-0.68972481,ITS.cc.90,90,AMF,S,Colombia,ITS.cc.90,1.584619409,5.607188418,2.189705513,1.210503036,0.587538412,1.36341405
49,0.81542342,-0.364467533,-0.127668079,ITS.cc.101,101,AMF,S,Mexico,ITS.cc.101,2.835909783,4.548449996,1.614273403,1.635998594,0.712798966,1.357639685
5,-0.442406061,-0.896346138,-1.606062803,ITS.cc.5,5,Nfix,S,Switzerland,ITS.cc.5,3.037215435,4.606815495,1.991913331,1.135615449,1.16814684,1.34544117
50,1.645870247,0.504406802,-0.591918578,ITS.cc.102,102,AMF,S,Mexico,ITS.cc.102,2.859109288,4.52361802,1.326347947,1.418345686,0.352970864,1.360535089
51,1.645161439,0.469244279,-0.114180234,ITS.cc.103,103,AMF,S,Mexico,ITS.cc.103,2.826690569,4.603531859,1.302497884,1.571245707,0.38395187,1.363426074
52,0.992531909,0.287699821,-0.272082917,ITS.cc.104,104,AMF,S,Mexico,ITS.cc.104,2.446414167,4.688493577,1.162721968,1.632245276,0.63833098,1.361934878
53,1.26182868,0.512144743,-0.896036858,ITS.cc.105,105,AMF,S,Mexico,ITS.cc.105,2.821947717,4.48912218,1.289944241,1.337990279,0.597450976,1.360430297
54,1.827862815,0.115537875,-2.413175563,ITS.cc.106,106,AMF,S,Mexico,ITS.cc.106,2.627790378,4.647838904,1.068606312,1.009159388,0.113727653,1.340802866
55,1.04245851,0.548816896,-1.786367384,ITS.cc.107,107,AMF,S,Mexico,ITS.cc.107,2.51761543,4.707692785,1.107255892,1.123093106,0.512586723,1.352945611
56,0.889015121,0.46833711,-0.92445903,ITS.cc.108,108,AMF,S,Mexico,ITS.cc.108,2.754601154,4.564969302,1.387714952,1.314337673,0.658539121,1.360213421
57,1.427131201,-3.113967493,-3.636572029,ITS.cc.109,109,AMF,S,Mexico,ITS.cc.109,2.712145712,4.501518045,1.392435665,1.104815277,0.356969934,1.300007174
