site,veg,symbiont,ITS.otus,ITS.chao1,ph,vwc,soilN,soilCN,sla,ldmc,leafN,temp,precip,PCOA1,PCOA2,X
Sweden,S,ECM.ERM,-0.316629259,-0.237822516,-0.511257262,0.006425593,0.076014927,-0.16121016,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,0.736580966,-0.394833113,ITS.cc.206
Sweden,S,ECM.ERM,0.213672012,0.209127951,-0.011653699,-0.220601122,-0.156213416,0.096991503,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,-0.335016456,0.692679322,ITS.cc.207
Sweden,S,ECM.ERM,-0.519753585,-0.477052225,-0.059692503,-0.220601122,0.871120543,0.040277748,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,-0.328807653,0.446326358,ITS.cc.208
Sweden,NS,ECM.ERM,-1.339826622,-1.36279425,0.391872255,0.416060754,-0.451475168,-0.299349862,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,-0.598191466,0.632595676,ITS.cc.209
Japan,S,AMF,-0.485662789,-0.523976745,0.80500597,0.529574112,0.717407496,-0.328107153,0.137328326,0.985644375,-0.043912547,-1.440517121,0.98144913,-0.075133742,-0.360972128,ITS.cc.21
Sweden,NS,ECM.ERM,0.679106073,0.654520722,0.632066276,-0.195924305,0.111402104,-0.092714857,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,1.351547286,0.810185672,ITS.cc.211
Sweden,NS,ECM.ERM,0.06026343,0.051966846,0.718536123,-0.087346311,0.271750246,-0.24163896,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,0.298608457,0.761688128,ITS.cc.212
Sweden,NS,ECM.ERM,0.290376302,0.369084497,0.132462713,0.154486495,-0.257951548,-0.176339255,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,0.811154795,0.49686734,ITS.cc.213
Sweden,NS,ECM.ERM,-0.658484186,-0.472342201,-0.13655459,0.119938951,-0.109767748,-0.153516664,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,-0.224395043,-0.131147788,ITS.cc.214
Sweden,NS,ECM.ERM,0.081570177,0.216065047,-0.078908025,-0.200859669,-0.156213416,-0.153210171,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,-0.345484314,0.287855367,ITS.cc.215
Sweden,NS,ECM.ERM,-0.087463353,-0.053615671,-0.319102045,0.33709494,-0.236940412,-0.091064019,1.501851832,-0.946757124,2.236841356,-0.96496814,-1.480184277,-0.257029576,0.003381926,ITS.cc.216
China,S,AMF,-0.693048465,-0.648995983,0.997161187,0.662828924,-0.951092398,0.404616858,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.72835779,-0.189840721,ITS.cc.217
China,S,AMF,-0.627234289,-0.790448349,1.765782052,0.717117921,-0.821223916,-0.04616298,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.658891184,-0.070500837,ITS.cc.218
China,S,AMF,-0.123448082,-0.213290028,1.765782052,0.751665464,-0.474244994,-0.172091909,0.970432099,NA,NA,-0.013870179,-1.065346215,-0.386609261,-0.031821798,ITS.cc.219
