,Kingdom,Phylum,Class,Order,Family,Genus,Species 
OTU14665,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU14667,Metazoa,Arthropoda,Insecta,Hymenoptera,,,
OTU14668,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14669,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14670,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,,
OTU14671,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,
OTU14672,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14673,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14674,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU14675,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Postia,
OTU14676,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,Valsa,
OTU14677,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
OTU14678,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14679,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU14680,,,,,,,
OTU14681,Rhodoplantae,Rhodophyta,Florideophyceae,Ceramiales,,,
OTU14682,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,,
OTU14683,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14684,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,,,
OTU14685,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Pseudobaeospora,
OTU14686,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
OTU14688,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14689,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,
OTU14690,,,,,,,
OTU14691,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14692,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14693,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14694,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14695,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14696,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU14697,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14699,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14700,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14701,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14702,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,
OTU14703,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,
OTU14704,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14705,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14707,Fungi,,,,,,
OTU14708,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,
OTU14709,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU14710,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,
OTU14711,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,
OTU14712,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14713,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14714,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14715,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,
OTU14716,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,
OTU14717,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14718,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14719,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14720,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14721,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14722,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,,,
OTU14723,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,
OTU14724,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Yamadazyma,
OTU14725,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,,
OTU14726,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14727,,,,,,,
OTU14728,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,
OTU14729,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14730,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14731,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU14732,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14733,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14734,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,
OTU14735,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14736,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14737,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,,,
OTU14738,Fungi,Basidiomycota,Microbotryomycetes,,,,
OTU14739,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14740,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,
OTU14741,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,
OTU14742,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
OTU14743,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
OTU14744,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,
OTU14745,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14747,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU14748,Stramenopila,Oomycota,Oomycetes,Peronosporales,,,
OTU14749,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,,
OTU14750,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,
OTU14751,Fungi,Basidiomycota,Ustilaginomycetes,Urocystidales,Urocystidaceae,Urocystis,Urocystis agropyri
OTU14752,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,
