site,veg,site.veg,plant.species,root microb,coord.X,coord.Y,elevation,VWC,pH,Tube,SampleID,soilN2,soilC2
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.26691,19.064165,4109,16.467,5.13,104,ITS.cc.104,0.386,0.559
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266911,19.064165,4110,15.833,5.5,105,ITS.cc.105,0.055,0.805
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266912,19.064165,4111,20.033,5.28,106,ITS.cc.106,0.095,0.715
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266913,19.064165,4112,14.8,5.68,107,ITS.cc.107,0.092,1.287
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266914,19.064165,4113,16.9,5.67,108,ITS.cc.108,0.03,0.702
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266915,19.064165,4114,19.597,5.64,109,ITS.cc.109,0.008,0.421
Mexico,S,Mexico.S,Chionolaena lavandulifolia,AMF,-97.266916,19.064165,4115,16.2,5.9,110,ITS.cc.110,0.017,0.628
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266917,19.064165,4116,5.6,5.04,111,ITS.cc.111,0.414,0.708
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266918,19.064165,4117,15.9,5.41,112,ITS.cc.112,0.011,0.901
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266919,19.064165,4118,9.5,5.28,113,ITS.cc.113,0.025,1.039
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.26692,19.064165,4119,6.6,5.08,114,ITS.cc.114,0.68,0.941
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266921,19.064165,4120,11.5,5.07,115,ITS.cc.115,0.593,1.217
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266922,19.064165,4121,7.1,4.87,116,ITS.cc.116,0.567,0.745
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266923,19.064165,4122,10.5,4.94,117,ITS.cc.117,0.519,0.789
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266924,19.064165,4123,3.6,4.9,118,ITS.cc.118,0.614,1.052
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266925,19.064165,4124,11.5,5.04,119,ITS.cc.119,0.055,1.206
Mexico,NS,Mexico.NS,Festuca amplissima,AMF,-97.266926,19.064165,4125,12,4.84,120,ITS.cc.120,0.061,1.142
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1935.251,31.2,7.1,121,ITS.cc.121,1.407,3.361
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1936.826,34.5,6.1,122,ITS.cc.122,1.356,4.653
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1937.528,33.5,7.1,123,ITS.cc.123,0.644,7.52
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1927.514,31.9,5.9,124,ITS.cc.124,1.172,3.996
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1927.946,33.8,6.5,125,ITS.cc.125,1.165,4.285
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1951.934,32.2,7.5,126,ITS.cc.126,0.288,3.353
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1954.695,30,6.9,127,ITS.cc.127,0.268,2.789
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1948.936,37,6.6,128,ITS.cc.128,0.512,5.316
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1949.481,35.2,7.6,129,ITS.cc.129,0.47,5.688
Spain Ordesa,S,Spain Ordesa.S,Echinospartum horridum,Nfix,0.033207276,42.602807,1949.955,31.4,7.8,130,ITS.cc.130,0.411,5.162
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1897.512,32.2,7.5,131,ITS.cc.131,0.512,3.498
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1896.525,29.3,7.8,132,ITS.cc.132,0.754,7.17
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1893.785,28.9,7.6,133,ITS.cc.133,0.553,6.108
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1885.072,28.3,6.5,134,ITS.cc.134,0.614,5.307
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1883.816,35.3,7.3,135,ITS.cc.135,0.299,2.534
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1942.236,39.2,7.3,136,ITS.cc.136,0.429,2.934
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1934.926,39.8,7,137,ITS.cc.137,0.417,4.982
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1932.679,43.2,6.8,138,ITS.cc.138,0.391,2.505
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1930.802,36.8,7.5,139,ITS.cc.139,0.36,3.311
Spain Ordesa,NS,Spain Ordesa.NS,Linum catharticum,AMF,0.033207276,42.602807,1929.482,36.5,7,140,ITS.cc.140,0.291,2.522
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36667,42.575821,2100,6.3,6.9,141,ITS.cc.141,0.505,6.62
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36668,42.575821,2100,8.5,6.65,142,ITS.cc.142,1.791,26.629
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36669,42.575821,2100,13.3,6.8,143,ITS.cc.143,1.505,20.495
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.3667,42.575821,2100,18.2,6.75,144,ITS.cc.144,0.639,8.996
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36671,42.575821,2100,23,6.4,145,ITS.cc.145,0.799,10.331
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36672,42.575821,2100,12.3,6.4,146,ITS.cc.146,0.734,9.639
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36673,42.575821,2100,14.2,6.63,147,ITS.cc.147,1.302,20.714
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36674,42.575821,2100,11.5,6.75,148,ITS.cc.148,0.808,10.718
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36675,42.575821,2100,12.2,5.9,149,ITS.cc.149,0.984,13.27
Spain,S,Spain.S,Juniperus communis,ECM.ERM,1.36676,42.575821,2100,12.6,6,150,ITS.cc.150,1.445,21.341
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36677,42.575821,2100,7.8,6.1,151,ITS.cc.151,0.924,12.778
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36678,42.575821,2100,12.4,5.97,152,ITS.cc.152,1.409,18.761
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.36679,42.575821,2100,11.6,6.3,153,ITS.cc.153,1.131,11.567
Spain,NS,Spain.NS,Festuca gautieri,AMF,1.3668,42.575821,2100,6.1,6.5,154,ITS.cc.154,1.21,12.468
