Vegetation,Plant species,root microb3,GPS coords (dd),Elevation (masl) ,VWC (%) ,pH ,Location ,LDMC (g/g),SLA (cm^2/g),15N,13C,Wt% N*,Wt% C*,C:N ratio,soilN2,soilC2,Tube,SampleID
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266915,4114,19.597,5.64,Mexico,0.275862069,33.16576087,-4.9753592,-28.9813332,1.428992905,39.22534098,27.44964012,0.008,0.421,109,ITS.cc.109
S,Chionolaena lavandulifolia,AMF,N 19.064165 W 97.266916,4115,16.2,5.9,Mexico,0.261146497,36.89430894,-5.2078,-27.0638476,2.203378623,45.88202534,20.82348665,0.017,0.628,110,ITS.cc.110
NS,Festuca amplissima,AMF,N 19.064165 W 97.266917,4116,5.6,5.04,Mexico,NA,NA,NA,NA,NA,NA,NA,0.414,0.708,111,ITS.cc.111
NS,Festuca amplissima,AMF,N 19.064165 W 97.266918,4117,15.9,5.41,Mexico,NA,NA,NA,NA,NA,NA,NA,0.011,0.901,112,ITS.cc.112
NS,Festuca amplissima,AMF,N 19.064165 W 97.266919,4118,9.5,5.28,Mexico,NA,NA,NA,NA,NA,NA,NA,0.025,1.039,113,ITS.cc.113
NS,Festuca amplissima,AMF,N 19.064165 W 97.266920,4119,6.6,5.08,Mexico,NA,NA,NA,NA,NA,NA,NA,0.68,0.941,114,ITS.cc.114
NS,Festuca amplissima,AMF,N 19.064165 W 97.266921,4120,11.5,5.07,Mexico,NA,NA,NA,NA,NA,NA,NA,0.593,1.217,115,ITS.cc.115
NS,Festuca amplissima,AMF,N 19.064165 W 97.266922,4121,7.1,4.87,Mexico,NA,NA,NA,NA,NA,NA,NA,0.567,0.745,116,ITS.cc.116
NS,Festuca amplissima,AMF,N 19.064165 W 97.266923,4122,10.5,4.94,Mexico,NA,NA,NA,NA,NA,NA,NA,0.519,0.789,117,ITS.cc.117
NS,Festuca amplissima,AMF,N 19.064165 W 97.266924,4123,3.6,4.9,Mexico,NA,NA,NA,NA,NA,NA,NA,0.614,1.052,118,ITS.cc.118
NS,Festuca amplissima,AMF,N 19.064165 W 97.266925,4124,11.5,5.04,Mexico,NA,NA,NA,NA,NA,NA,NA,0.055,1.206,119,ITS.cc.119
NS,Festuca amplissima,AMF,N 19.064165 W 97.266926,4125,12,4.84,Mexico,,,NA,NA,NA,NA,NA,0.061,1.142,120,ITS.cc.120
S,Echinospartum horridum,Nfix,"42.602807, 0.03320727633958942",1935.251,31.2,7.1,Spain Ordesa ,0.49687593,5.748502994,-2.0275735,-26.2224392,2.05062603,50.56602668,24.65882416,1.407,3.361,121,ITS.cc.121
